time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:00:21
0,0,0,str(tail1_pos),str(tail2_pos)),0.034,0.062,3357.50328,S,01827.74791,E,122.6875,-0.4375,12.125,0.06,0.02,-0.11,-0.003272492347489368,0.0,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.024,0.044,3357.50334,S,01827.74788,E,122.6875,-0.4375,12.125,-0.07,0.01,-0.2,0.001090830782496456,-0.00545415391248228,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.043,0.080,3357.50337,S,01827.74788,E,122.6875,-0.4375,12.125,0.0,0.03,-0.13,-0.001090830782496456,0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.041,0.075,3357.50339,S,01827.74787,E,122.6875,-0.4375,12.125,-0.01,0.04,-0.19,0.003272492347489368,-0.003272492347489368,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.043,0.080,3357.50341,S,01827.74785,E,122.6875,-0.4375,12.125,0.07,0.04,0.01,0.004363323129985824,0.007635815477475192,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.011,0.021,3357.50342,S,01827.74785,E,122.6875,-0.4375,12.125,0.08,0.0,-0.04,0.003272492347489368,0.0,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.027,0.051,3357.50342,S,01827.74786,E,122.6875,-0.4375,12.125,0.05,0.05,0.02,0.001090830782496456,-0.00545415391248228,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.019,0.036,3357.50341,S,01827.74786,E,122.75,-0.4375,12.125,-0.04,0.11,0.08,0.0,0.002181661564992912,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.020,0.036,3357.50342,S,01827.74784,E,122.75,-0.4375,12.125,0.04,0.02,-0.09,0.0,0.001090830782496456,-0.00545415391248228
6214,6249,6526,str(tail1_pos),str(tail2_pos)),0.002,0.004,3357.50342,S,01827.74783,E,122.75,-0.4375,12.125,-0.05,0.26,0.17,0.02399827721492203,-0.04036073895236887,0.017453292519943295
6214,7131,6526,str(tail1_pos),str(tail2_pos)),0.004,0.007,3357.50343,S,01827.74782,E,121.6875,-0.1875,11.25,0.35000000000000003,0.59,-0.01,-0.04908738521234052,0.001090830782496456,0.14180800172453928
6214,7325,6526,str(tail1_pos),str(tail2_pos)),0.006,0.011,3357.50343,S,01827.74780,E,118.0,0.4375,12.4375,-0.37,0.64,2.2,0.004363323129985824,-0.11453723216212788,0.22907446432425577
6214,7413,6526,str(tail1_pos),str(tail2_pos)),0.015,0.027,3357.50343,S,01827.74778,E,110.9375,2.0625,10.625,-0.24,0.4,0.03,-0.1538071403320003,-0.04254240051736178,0.23343778745424157
6214,7501,6526,str(tail1_pos),str(tail2_pos)),0.019,0.035,3357.50343,S,01827.74776,E,103.4375,0.9375,11.6875,-0.31,0.9400000000000001,-0.9,0.14944381720201447,0.09817477042468103,0.09381144729469522
6214,7501,6526,str(tail1_pos),str(tail2_pos)),0.011,0.020,3357.50343,S,01827.74777,E,99.0625,2.875,13.75,0.43,1.77,-5.33,-0.4385139745635753,-0.5083271446433485,0.6795875774952921
5256,7501,6526,str(tail1_pos),str(tail2_pos)),0.020,0.037,3357.50342,S,01827.74776,E,102.6875,1.4375,11.8125,-1.12,-0.39,-2.0,0.08072147790473774,-0.4908738521234052,-0.918479518862016
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.045,0.083,3357.50343,S,01827.74776,E,123.8125,4.375,12.25,1.23,-0.66,1.17,-0.10035643198967395,0.28907015736156083,0.2792526803190927
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.059,0.110,3357.50344,S,01827.74776,E,136.8125,3.75,10.8125,-0.45,-0.9400000000000001,0.21,0.21598449493429828,0.37960911230876665,-0.16253378659197193
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.167,0.310,3357.50344,S,01827.74780,E,153.375,1.375,12.9375,4.94,-0.27,-0.42,0.4756022211684548,0.545415391248228,-0.44505895925855404
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.012,0.022,3357.50343,S,01827.74781,E,155.625,0.0,10.625,1.16,-0.91,-1.92,0.05672320068981571,-0.003272492347489368,-0.5486878835957173
2022-11-01_15:00:32
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.042,0.077,3357.50342,S,01827.74779,E,159.375,1.3125,10.25,0.96,-0.5700000000000001,-2.2800000000000002,-0.4690572364734761,-0.2617993877991494,-0.7079491778402
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.099,0.183,3357.50338,S,01827.74777,E,163.6875,3.875,11.125,0.0,-1.75,0.84,0.5606870222031783,-0.028361600344907856,-0.22907446432425577
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.086,0.159,3357.50334,S,01827.74778,E,169.875,3.75,9.25,1.55,0.47000000000000003,0.03,-0.02945243112740431,0.3021601267515183,-0.5105088062083414
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.020,0.037,3357.50332,S,01827.74778,E,172.25,2.25,9.125,0.11,0.35000000000000003,-2.73,-0.07963064712224129,-0.28907015736156083,-0.5988660995905544
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.051,0.094,3357.50331,S,01827.74779,E,175.6875,3.6875,9.375,2.12,-0.29,-0.74,-0.210530341021816,0.032724923474893676,-0.32834006553143325
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.076,0.140,3357.50331,S,01827.74778,E,178.25,3.6875,10.25,2.13,-0.34,0.41000000000000003,-0.03599741582238305,0.2552544031041707,-0.47451139038595835
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.027,0.050,3357.50329,S,01827.74774,E,180.75,3.0,10.125,1.78,-0.05,0.32,-0.09926560120717749,-0.09708393964218458,-0.4014257279586958
5310,7501,6526,str(tail1_pos),str(tail2_pos)),0.034,0.063,3357.50329,S,01827.74772,E,195.3125,-0.875,13.8125,-1.33,0.61,-0.65,-0.47669305195095124,0.33815754257390135,0.9152070265145266
