time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:06:33
0,0,0,str(tail1_pos),str(tail2_pos)),3.394,6.285,3357.50215,S,01827.75886,E,118.1875,-0.1875,11.5625,0.0,-0.01,0.0,-0.002181661564992912,0.003272492347489368,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),3.374,6.249,3357.50228,S,01827.75777,E,118.1875,-0.1875,11.5625,-0.05,0.0,0.01,-0.001090830782496456,-0.00545415391248228,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),3.380,6.260,3357.50231,S,01827.75666,E,118.1875,-0.1875,11.5625,-0.1,0.0,-0.14,-0.002181661564992912,0.002181661564992912,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),3.091,5.724,3357.50237,S,01827.75560,E,118.1875,-0.1875,11.5625,-0.03,0.0,-0.13,0.001090830782496456,-0.001090830782496456,0.003272492347489368
0,0,0,str(tail1_pos),str(tail2_pos)),3.294,6.100,3357.50253,S,01827.75453,E,118.1875,-0.1875,11.5625,-0.11,0.0,-0.16,0.001090830782496456,0.001090830782496456,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),3.166,5.863,3357.50279,S,01827.75351,E,118.1875,-0.1875,11.5625,-0.09,0.0,-0.14,-0.001090830782496456,0.0,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),2.875,5.325,3357.50304,S,01827.75252,E,118.1875,-0.1875,11.5625,-0.06,0.0,-0.18,0.001090830782496456,0.0,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),2.628,4.868,3357.50322,S,01827.75155,E,118.1875,-0.1875,11.5625,-0.05,-0.04,0.02,0.003272492347489368,0.002181661564992912,0.0
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.689,4.980,3357.50339,S,01827.75063,E,117.875,-0.125,10.5,-0.15,0.56,-0.35000000000000003,0.003272492347489368,-0.02181661564992912,0.022907446432425576
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.419,4.479,3357.50353,S,01827.74980,E,117.625,-0.125,9.875,-0.1,0.47000000000000003,-0.3,-0.013089969389957472,-0.05999569303730508,0.05126904677733343
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.733,5.062,3357.50384,S,01827.74896,E,116.125,-0.75,9.5,-0.25,0.3,-0.16,-0.025089107997418487,-0.05999569303730508,0.03599741582238305
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.849,1.573,3357.50379,S,01827.74868,E,115.875,-0.9375,9.8125,-0.06,0.46,-0.64,0.09708393964218458,-0.13526301702956053,0.06763150851478027
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.622,1.153,3357.50360,S,01827.74862,E,115.6875,-1.375,9.5,0.25,0.23,-0.67,0.07853981633974483,-0.20507618710933373,0.06435901616729091
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.256,0.475,3357.50357,S,01827.74856,E,115.5,-1.3125,9.0625,-0.08,0.84,1.9100000000000001,-0.031634092692397225,0.08399397025222712,-0.013089969389957472
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.046,0.086,3357.50359,S,01827.74859,E,115.5,-1.4375,9.25,0.37,0.66,1.75,-0.04145156973486533,-0.1265363707695889,0.038179077387375956
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.518,0.959,3357.50363,S,01827.74846,E,115.5,-1.1875,9.375,-0.7000000000000001,0.4,-0.38,-0.002181661564992912,0.032724923474893676,-0.020725784867432664
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.291,0.539,3357.50367,S,01827.74837,E,115.375,-1.125,9.25,-0.03,0.28,-0.64,-0.026179938779914945,-0.0916297857297023,-0.013089969389957472
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.481,0.891,3357.50370,S,01827.74827,E,115.1875,-1.1875,9.8125,-0.21,-0.54,-0.52,-0.05345070834232634,-0.09599310885968812,0.0719948316447661
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.132,0.244,3357.50369,S,01827.74816,E,115.0,-0.875,9.6875,0.84,0.54,3.37,0.05672320068981571,-0.0272707695624114,-0.015271630954950384
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.249,0.462,3357.50367,S,01827.74812,E,115.0625,-0.875,9.6875,0.18,0.27,-2.92,0.09490227807719166,0.02181661564992912,-0.026179938779914945
2022-11-01_15:06:42
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.087,0.162,3357.50367,S,01827.74811,E,114.8125,-0.875,9.625,0.2,0.36,2.22,-0.20616701789183017,-0.05345070834232634,0.10253809355466686
