time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:04:09
0,0,0,str(tail1_pos),str(tail2_pos)),0.021,0.039,3357.50351,S,01827.74798,E,120.8125,-0.4375,12.0625,-0.05,0.01,-0.05,-0.002181661564992912,-0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.042,0.077,3357.50352,S,01827.74798,E,120.8125,-0.4375,12.0625,0.05,0.0,-0.13,-0.002181661564992912,0.003272492347489368,0.003272492347489368
0,0,0,str(tail1_pos),str(tail2_pos)),0.045,0.083,3357.50351,S,01827.74796,E,120.8125,-0.4375,12.0625,-0.04,-0.01,-0.07,0.001090830782496456,0.004363323129985824,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.032,0.060,3357.50349,S,01827.74795,E,120.8125,-0.4375,12.0625,0.02,0.01,-0.09,-0.002181661564992912,0.00545415391248228,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.049,0.091,3357.50345,S,01827.74795,E,120.8125,-0.4375,12.0625,0.0,0.0,-0.11,0.0,0.0,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.016,0.029,3357.50343,S,01827.74795,E,120.8125,-0.4375,12.0625,0.02,0.0,-0.02,0.0,0.003272492347489368,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.019,0.035,3357.50341,S,01827.74796,E,120.8125,-0.4375,12.0625,-0.04,0.0,-0.18,0.0,0.0,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.007,0.012,3357.50340,S,01827.74798,E,120.8125,-0.4375,12.0625,0.0,0.0,-0.14,0.001090830782496456,0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.048,0.089,3357.50338,S,01827.74800,E,120.8125,-0.4375,12.0625,0.0,0.05,-0.21,0.0,-0.001090830782496456,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.030,0.055,3357.50336,S,01827.74800,E,120.8125,-0.4375,12.0625,-0.03,0.05,-0.01,0.002181661564992912,0.0,0.002181661564992912
6214,6796,6526,str(tail1_pos),str(tail2_pos)),0.115,0.213,3357.50339,S,01827.74804,E,121.0625,-0.3125,9.8125,0.21,0.48,-0.23,-0.05672320068981571,0.04254240051736178,-0.02399827721492203
6214,7449,6526,str(tail1_pos),str(tail2_pos)),1.494,2.768,3357.50348,S,01827.74836,E,121.5,-1.3125,9.875,-0.52,-0.06,-0.48,0.007635815477475192,-0.08508480103472356,-0.020725784867432664
