time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:12:05
0,0,0,str(tail1_pos),str(tail2_pos)),2.388,4.423,3357.50388,S,01827.76706,E,89.0,-3.1875,11.1875,0.0,0.03,-0.07,-0.002181661564992912,0.003272492347489368,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),2.250,4.166,3357.50430,S,01827.76649,E,88.5,-3.1875,11.1875,0.01,0.02,0.0,0.004363323129985824,0.0,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),2.482,4.597,3357.50476,S,01827.76590,E,88.125,-3.1875,11.1875,0.06,0.02,0.03,0.0,-0.001090830782496456,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),2.545,4.713,3357.50522,S,01827.76526,E,88.0625,-3.1875,11.1875,0.06,0.01,-0.1,0.001090830782496456,0.001090830782496456,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),2.508,4.644,3357.50566,S,01827.76461,E,87.875,-3.1875,11.1875,-0.01,0.04,-0.01,-0.001090830782496456,-0.002181661564992912,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),2.252,4.170,3357.50603,S,01827.76398,E,87.3125,-3.1875,11.1875,0.01,0.02,-0.19,-0.002181661564992912,0.00545415391248228,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),2.246,4.160,3357.50634,S,01827.76334,E,87.375,-3.25,10.875,0.34,0.36,-0.91,-0.05235987755982989,-0.026179938779914945,-0.04036073895236887
6214,7978,6526,str(tail1_pos),str(tail2_pos)),1.837,3.403,3357.50645,S,01827.76270,E,87.0,-4.4375,8.9375,-0.15,0.39,-0.4,0.02399827721492203,-0.01090830782496456,-0.07635815477475191
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.572,1.060,3357.50654,S,01827.76244,E,89.5,-2.375,9.125,-1.46,1.59,0.08,-0.006544984694978736,0.003272492347489368,-0.06763150851478027
6214,7978,6526,str(tail1_pos),str(tail2_pos)),1.663,3.079,3357.50656,S,01827.76202,E,90.875,-2.0,8.375,-1.75,0.59,-1.12,-0.09381144729469522,-0.055632369907319255,-0.05781403147231216
6214,7978,6526,str(tail1_pos),str(tail2_pos)),1.882,3.486,3357.50654,S,01827.76141,E,92.1875,-2.0625,9.1875,-0.56,1.19,0.29,-0.08835729338221293,-0.06326818538479445,0.05999569303730508
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.806,1.493,3357.50659,S,01827.76104,E,91.5625,-1.25,9.5625,-1.32,0.98,5.0600000000000005,0.04690572364734761,-0.02945243112740431,-0.05999569303730508
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.177,0.327,3357.50660,S,01827.76093,E,89.125,0.0625,9.75,0.54,1.6500000000000001,5.76,0.17016960206944712,-0.44178646691106466,0.14835298641951802
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.087,0.161,3357.50661,S,01827.76094,E,79.25,4.3125,12.875,4.71,-1.4000000000000001,5.89,0.46469391334349025,0.9457502884244273,0.09490227807719166
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.151,0.280,3357.50665,S,01827.76096,E,81.9375,0.8125,10.6875,0.51,0.5,-0.54,-0.11126473981463851,-0.4374231437810788,-0.24107360293171676
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.021,0.039,3357.50667,S,01827.76094,E,88.3125,0.8125,10.4375,-1.36,-0.43,3.0700000000000003,-0.22907446432425577,0.210530341021816,-0.05126904677733343
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.070,0.130,3357.50670,S,01827.76093,E,88.8125,-1.0625,10.625,1.46,-0.61,-3.2600000000000002,-0.0719948316447661,-0.19744037163185854,0.39051742013373125
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.050,0.093,3357.50670,S,01827.76092,E,87.0,-2.8125,11.0,-1.76,-0.11,-3.0100000000000002,-0.24107360293171676,-0.1712604328519436,-0.4134248665661568
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.031,0.058,3357.50671,S,01827.76092,E,87.9375,4.3125,9.9375,-1.6,1.55,0.62,-0.09817477042468103,0.5410520681182421,0.8475755179997463
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.029,0.054,3357.50673,S,01827.76090,E,83.3125,-6.375,11.4375,-1.21,0.59,2.42,0.8497571795647392,-0.12762720155208535,-0.6424993308904126
2022-11-01_15:12:18
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.060,0.111,3357.50674,S,01827.76089,E,82.8125,-1.375,10.9375,-2.59,-1.29,-2.75,-0.22143864884678055,-0.5683228376806536,-0.031634092692397225
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.054,0.100,3357.50676,S,01827.76089,E,81.6875,0.125,11.5,2.29,-1.73,0.81,0.39706240482870997,0.17562375598192942,0.08399397025222712
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.040,0.074,3357.50677,S,01827.76090,E,82.1875,0.3125,10.875,0.78,-0.96,-0.35000000000000003,-0.2650718801466388,0.7548549014875475,0.23343778745424157
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.052,0.096,3357.50678,S,01827.76091,E,82.5625,-1.9375,9.9375,-0.91,0.68,-1.34,-0.1308996938995747,-0.04036073895236887,0.1636246173744684
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.049,0.090,3357.50678,S,01827.76092,E,81.0625,-2.4375,11.5,2.96,0.36,0.03,0.08290313946973066,-0.5050546522958591,-0.3043417883165112
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.297,0.551,3357.50677,S,01827.76100,E,84.3125,2.0,10.5,-1.2,0.31,0.64,-0.2585268954516601,0.8246680715673207,0.20725784867432664
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.120,3.926,3357.50672,S,01827.76153,E,83.625,1.125,11.1875,-2.54,0.33,3.42,-0.020725784867432664,0.6915867161027531,-0.14508049407202864
6214,7978,6526,str(tail1_pos),str(tail2_pos)),4.145,7.677,3357.50669,S,01827.76272,E,83.625,0.6875,12.8125,-4.88,-4.21,5.78,0.2007128639793479,-1.5642513420999178,-0.5857761302005968
6214,7978,6526,str(tail1_pos),str(tail2_pos)),6.154,11.397,3357.50670,S,01827.76458,E,59.0625,-9.0625,-10.3125,-2.07,-1.99,0.06,-0.6894050545377601,-0.22252947962927702,1.265363707695889
6214,7978,6526,str(tail1_pos),str(tail2_pos)),8.401,15.558,3357.50663,S,01827.76716,E,7.375,1.0625,1.375,-4.68,-1.04,-2.17,-0.6457718232379019,0.20507618710933373,1.4409874636778184
6214,7978,6526,str(tail1_pos),str(tail2_pos)),9.404,17.415,3357.50626,S,01827.77017,E,355.625,-0.8125,5.0,-2.77,-1.49,-3.16,-0.24980024919168842,0.002181661564992912,1.3984450631604566
6214,7978,6526,str(tail1_pos),str(tail2_pos)),9.181,17.004,3357.50600,S,01827.77325,E,354.0625,-1.0625,5.3125,0.09,0.75,1.36,-0.4134248665661568,0.45160394395353276,1.1540989678812503
6214,7978,6526,str(tail1_pos),str(tail2_pos)),9.166,16.976,3357.50589,S,01827.77632,E,352.75,-1.6875,5.6875,-1.95,-1.0,-2.42,-0.13853550937704992,0.35452000431134817,1.2086405070060733
6214,7978,6526,str(tail1_pos),str(tail2_pos)),9.339,17.295,3357.50565,S,01827.77941,E,351.375,-2.125,5.75,1.56,-0.21,-0.18,-0.28688849579656794,0.1505346479845109,1.3166327544732224
6214,7978,6526,str(tail1_pos),str(tail2_pos)),8.669,16.056,3357.50534,S,01827.78236,E,349.8125,-2.5625,6.3125,-2.19,-0.3,-0.58,-0.40251655874119224,0.5355979142057599,1.155189798663747
6214,7978,6526,str(tail1_pos),str(tail2_pos)),8.583,15.895,3357.50490,S,01827.78518,E,348.5625,-3.3125,6.375,0.34,-0.3,-3.48,-0.2301652951067522,0.21380283336930536,1.361356816555577
