time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:10:45
0,0,0,str(tail1_pos),str(tail2_pos)),0.011,0.021,3357.50615,S,01827.76074,E,40.8125,-2.5,7.3125,0.05,-0.07,-0.08,-0.002181661564992912,-0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.045,0.083,3357.50614,S,01827.76075,E,40.8125,-2.5,7.3125,0.04,-0.04,-0.12,0.001090830782496456,-0.002181661564992912,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.068,0.127,3357.50613,S,01827.76075,E,41.75,-2.125,7.4375,-2.3000000000000003,-0.25,0.67,0.11017390903214205,-0.0545415391248228,-0.03490658503988659
0,0,0,str(tail1_pos),str(tail2_pos)),0.139,0.257,3357.50610,S,01827.76076,E,42.5625,-1.875,7.5,-0.23,-0.06,-0.16,-0.011999138607461015,0.015271630954950384,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.063,0.117,3357.50610,S,01827.76078,E,42.625,-1.3125,7.75,-0.07,-0.38,0.0,0.04799655442984406,-0.04799655442984406,0.02945243112740431
0,0,0,str(tail1_pos),str(tail2_pos)),0.082,0.152,3357.50607,S,01827.76076,E,39.625,-1.4375,8.9375,0.38,0.02,0.76,-0.1189005552921137,0.05235987755982989,0.00545415391248228
0,0,0,str(tail1_pos),str(tail2_pos)),0.056,0.104,3357.50606,S,01827.76077,E,39.9375,-0.9375,8.5,-0.07,0.2,0.43,-0.26398104936414235,0.19853120241435498,0.037088246604879506
0,0,0,str(tail1_pos),str(tail2_pos)),0.092,0.170,3357.50607,S,01827.76077,E,40.125,-1.875,9.5625,-0.22,0.16,-0.38,-0.050178215994836975,-0.02399827721492203,0.1265363707695889
0,0,0,str(tail1_pos),str(tail2_pos)),0.072,0.134,3357.50609,S,01827.76079,E,40.4375,-1.4375,9.5,0.01,0.05,0.15,-0.03490658503988659,-0.018544123302439753,-0.020725784867432664
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.022,0.041,3357.50610,S,01827.76080,E,40.5625,-1.25,7.875,0.8200000000000001,1.22,0.43,-0.284706834231575,-0.10035643198967395,-0.07744898555724837
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.188,0.348,3357.50611,S,01827.76081,E,40.1875,-1.625,8.5,1.72,0.54,1.3,0.15817046346198613,-0.06763150851478027,-0.007635815477475192
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.404,0.748,3357.50621,S,01827.76082,E,42.25,-0.8125,0.5,-0.37,1.43,-6.48,-1.7693275292092516,0.06763150851478027,0.055632369907319255
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.393,4.432,3357.50577,S,01827.76097,E,44.875,-2.0625,10.1875,-0.31,1.8,-0.21,0.13744467859455345,0.16689710972195776,-0.07963064712224129
6214,7978,6526,str(tail1_pos),str(tail2_pos)),3.904,7.230,3357.50486,S,01827.76137,E,48.6875,0.0,11.6875,1.72,-0.8,1.48,0.45160394395353276,0.0545415391248228,-0.5912302841130791
6214,7978,6526,str(tail1_pos),str(tail2_pos)),4.716,8.735,3357.50376,S,01827.76208,E,57.1875,0.3125,11.25,2.17,0.35000000000000003,3.2,-0.34797501961636945,0.43960480534607177,-0.358883327441334
6214,7978,6526,str(tail1_pos),str(tail2_pos)),4.637,8.588,3357.50284,S,01827.76312,E,77.75,1.9375,11.8125,1.11,-0.7000000000000001,-2.79,-0.06872233929727672,-0.19198621771937624,-0.016362461737446838
6214,7978,6526,str(tail1_pos),str(tail2_pos)),4.113,7.616,3357.50228,S,01827.76434,E,102.125,3.3125,11.5,0.22,-0.05,-1.6300000000000001,0.6446809924554054,0.6686792696703275,0.14726215563702155
6214,7978,6526,str(tail1_pos),str(tail2_pos)),3.581,6.633,3357.50205,S,01827.76552,E,109.375,2.5,13.875,-0.11,-1.26,-1.08,0.6206827152404835,-0.02181661564992912,-0.18871372537188688
6214,7978,6526,str(tail1_pos),str(tail2_pos)),3.658,6.775,3357.50194,S,01827.76670,E,113.125,0.875,11.625,0.66,0.15,0.21,0.032724923474893676,-0.5934119456780721,-0.20943951023931956
6214,7978,6526,str(tail1_pos),str(tail2_pos)),3.560,6.593,3357.50191,S,01827.76788,E,120.625,3.0,13.3125,-0.89,-1.6600000000000001,0.48,-0.14289883250703572,-0.2879793265790644,-0.40578905108868163
2022-11-01_15:11:04
6214,7978,6526,str(tail1_pos),str(tail2_pos)),2.645,4.899,3357.50203,S,01827.76883,E,130.3125,4.4375,10.5,0.34,-0.22,-0.33,-0.47451139038595835,0.1810779098944117,-0.22362031041177347
6214,7978,6526,str(tail1_pos),str(tail2_pos)),1.849,3.425,3357.50220,S,01827.76949,E,140.8125,2.9375,15.5625,-0.4,-1.11,0.14,0.22907446432425577,0.04254240051736178,-0.09926560120717749
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.822,1.522,3357.50233,S,01827.76983,E,142.8125,2.6875,12.4375,-0.14,0.19,-0.23,-0.004363323129985824,0.003272492347489368,0.001090830782496456
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.017,0.031,3357.50236,S,01827.76990,E,142.75,2.4375,12.1875,-0.13,-0.02,-0.21,0.001090830782496456,-0.00545415391248228,-0.002181661564992912
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.127,0.235,3357.50241,S,01827.76985,E,142.75,2.3125,11.9375,0.14,0.18,-0.46,-0.00545415391248228,0.011999138607461015,-0.001090830782496456
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.154,0.285,3357.50243,S,01827.76987,E,142.75,2.1875,11.875,-0.13,0.0,-0.17,-0.002181661564992912,-0.009817477042468103,0.01090830782496456
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.031,0.058,3357.50243,S,01827.76989,E,124.6875,0.0,11.6875,-0.85,-1.4000000000000001,-0.55,-0.4166973589136462,-0.044724062082354694,0.9773843811168246
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.200,0.371,3357.50243,S,01827.76985,E,51.4375,2.0,13.625,-2.29,-0.27,1.46,-0.037088246604879506,0.14835298641951802,-0.07526732399225546
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.369,0.683,3357.50242,S,01827.76992,E,51.8125,-0.75,-2.3125,2.6,-0.03,-6.3500000000000005,-2.3867377521022455,0.003272492347489368,0.13962634015954636
6214,7978,6526,str(tail1_pos),str(tail2_pos)),1.370,2.538,3357.50219,S,01827.77014,E,52.8125,-2.25,6.8125,0.16,-0.54,-0.06,-0.0545415391248228,0.022907446432425576,0.08835729338221293
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.697,1.291,3357.50205,S,01827.77030,E,52.625,-1.6875,8.125,0.04,0.0,0.22,0.002181661564992912,-0.003272492347489368,0.00545415391248228
6214,7978,6526,str(tail1_pos),str(tail2_pos)),0.097,0.180,3357.50199,S,01827.77034,E,52.6875,-1.3125,8.25,0.14,0.13,0.32,-0.003272492347489368,-0.004363323129985824,0.003272492347489368
