time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_14:58:13
0,0,0,str(tail1_pos),str(tail2_pos)),0.911,1.688,3357.50341,S,01827.74678,E,124.1875,-1.0625,12.25,0.1,-0.07,-0.21,-0.031634092692397225,-0.026179938779914945,0.006544984694978736
6214,6619,6526,str(tail1_pos),str(tail2_pos)),0.435,0.805,3357.50334,S,01827.74694,E,124.3125,-1.0625,12.0625,-0.2,0.76,1.7,0.0272707695624114,-0.001090830782496456,0.05235987755982989
6214,7449,6526,str(tail1_pos),str(tail2_pos)),1.465,2.714,3357.50331,S,01827.74794,E,123.625,0.6875,13.0625,-0.43,0.59,-0.09,0.13526301702956053,0.2378011105842274,-0.19525871006686563
6214,7449,6526,str(tail1_pos),str(tail2_pos)),3.263,6.043,3357.50341,S,01827.74893,E,120.9375,-0.3125,12.0,-0.46,0.31,0.71,0.07526732399225546,0.11235557059713497,0.04254240051736178
5814,7449,6526,str(tail1_pos),str(tail2_pos)),4.352,8.060,3357.50346,S,01827.74980,E,136.5625,1.9375,11.75,1.47,0.31,-0.16,-0.17671458676442586,0.14289883250703572,-0.31525009614147576
6302,7449,6526,str(tail1_pos),str(tail2_pos)),5.460,10.112,3357.50416,S,01827.75133,E,134.1875,-6.5625,13.125,-1.53,-0.97,-4.3500000000000005,-0.4701480672559725,0.42542400517361784,0.7461282552275759
6690,7449,6526,str(tail1_pos),str(tail2_pos)),6.414,11.879,3357.50473,S,01827.75308,E,127.125,-20.125,14.4375,2.32,-0.48,0.43,-0.15271630954950383,-0.5726861608106394,-0.5377795757707527
6778,7449,6526,str(tail1_pos),str(tail2_pos)),6.327,11.717,3357.50551,S,01827.75510,E,125.8125,-9.4375,12.9375,0.59,0.55,3.15,-0.019634954084936207,-0.21489366415180183,-0.031634092692397225
6778,7449,6526,str(tail1_pos),str(tail2_pos)),5.924,10.972,3357.50604,S,01827.75718,E,113.125,-8.4375,12.8125,0.47000000000000003,0.08,0.59,0.008726646259971648,-0.4428772976935611,0.16035212502697901
6778,7449,6526,str(tail1_pos),str(tail2_pos)),5.571,10.317,3357.50626,S,01827.75929,E,105.5,-16.75,8.9375,2.32,-1.1300000000000001,-0.78,-0.020725784867432664,0.6861325621902709,0.05890486225480862
6778,7449,6526,str(tail1_pos),str(tail2_pos)),5.289,9.796,3357.50635,S,01827.76106,E,113.9375,-5.1875,12.8125,0.27,0.56,-1.1500000000000001,0.10799224746714914,-0.01090830782496456,-0.008726646259971648
5796,7449,6526,str(tail1_pos),str(tail2_pos)),5.845,10.825,3357.50649,S,01827.76292,E,131.1875,0.25,13.0625,3.65,0.8300000000000001,0.64,0.11562806294462433,0.10362892433716332,-0.4265148359561143
