time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_14:57:39
0,0,0,str(tail1_pos),str(tail2_pos)),0.015,0.028,3357.50330,S,01827.74704,E,127.5,-0.9375,13.6875,-0.75,-0.04,-0.71,-0.06435901616729091,0.11780972450961724,0.17889624832941878
0,0,0,str(tail1_pos),str(tail2_pos)),0.008,0.015,3357.50329,S,01827.74707,E,127.5,-1.125,14.375,-0.32,0.01,-0.13,-0.004363323129985824,-0.03490658503988659,0.006544984694978736
0,0,0,str(tail1_pos),str(tail2_pos)),0.037,0.068,3357.50329,S,01827.74709,E,127.4375,-1.25,14.3125,0.1,0.0,-0.07,0.01090830782496456,0.003272492347489368,0.02399827721492203
0,0,0,str(tail1_pos),str(tail2_pos)),0.059,0.110,3357.50326,S,01827.74709,E,127.4375,-1.125,14.375,0.28,0.34,-0.6900000000000001,0.018544123302439753,0.09708393964218458,0.025089107997418487
0,0,0,str(tail1_pos),str(tail2_pos)),0.026,0.049,3357.50325,S,01827.74709,E,127.5,-1.125,14.375,-0.01,0.0,-0.04,0.003272492347489368,0.001090830782496456,0.002181661564992912
6214,6390,6526,str(tail1_pos),str(tail2_pos)),0.032,0.059,3357.50324,S,01827.74708,E,127.5,-1.1875,13.875,0.05,0.58,0.5,0.02399827721492203,-0.006544984694978736,0.07526732399225546
6214,7166,6526,str(tail1_pos),str(tail2_pos)),0.048,0.088,3357.50325,S,01827.74710,E,125.4375,-1.375,13.0625,-0.1,0.17,1.56,0.07417649320975901,-0.1341721862470641,0.04145156973486533
6214,7113,6526,str(tail1_pos),str(tail2_pos)),1.108,2.052,3357.50331,S,01827.74738,E,122.5,-0.6875,13.0,-0.17,0.9400000000000001,1.28,0.05781403147231216,0.031634092692397225,0.05126904677733343
6214,7096,6526,str(tail1_pos),str(tail2_pos)),2.544,4.711,3357.50340,S,01827.74813,E,115.6875,0.0,12.0,0.8300000000000001,0.71,0.24,-0.019634954084936207,0.03490658503988659,-0.020725784867432664
6214,7096,6526,str(tail1_pos),str(tail2_pos)),3.710,6.871,3357.50342,S,01827.74935,E,115.125,3.5625,12.75,1.1,-0.38,0.32,-0.011999138607461015,0.1734420944169365,-0.33597588100890846
5652,7096,6526,str(tail1_pos),str(tail2_pos)),4.363,8.080,3357.50352,S,01827.75073,E,139.4375,3.4375,12.25,0.72,0.34,1.1500000000000001,-0.1810779098944117,0.08617563181722002,-0.4428772976935611
5688,7096,6526,str(tail1_pos),str(tail2_pos)),4.500,8.333,3357.50397,S,01827.75213,E,151.5625,-1.5625,13.6875,-0.53,-0.01,-0.96,-0.17780541754692233,-0.05781403147231216,0.039269908169872414
6337,7096,6526,str(tail1_pos),str(tail2_pos)),5.032,9.319,3357.50475,S,01827.75347,E,151.625,-1.9375,16.9375,0.54,0.98,-4.18,-0.6381360077604268,1.8435040224190107,1.3820826014230096
6531,7096,6526,str(tail1_pos),str(tail2_pos)),4.936,9.141,3357.50564,S,01827.75476,E,161.5625,3.875,9.625,-0.26,-0.68,-3.3000000000000003,0.22471114119426994,-0.3327033886614191,1.0428342280666119
6531,7096,6526,str(tail1_pos),str(tail2_pos)),3.710,6.871,3357.50634,S,01827.75579,E,157.125,-0.125,14.875,-0.48,-1.2,0.15,-0.08290313946973066,-0.014180800172453928,-0.3861540970037454
6531,7096,6526,str(tail1_pos),str(tail2_pos)),1.386,2.567,3357.50673,S,01827.75622,E,165.1875,0.25,15.1875,-0.33,0.13,-0.27,0.015271630954950384,0.015271630954950384,0.003272492347489368
6531,7096,6526,str(tail1_pos),str(tail2_pos)),0.041,0.075,3357.50682,S,01827.75626,E,165.125,-0.3125,15.1875,-0.21,0.09,0.2,-0.002181661564992912,0.004363323129985824,0.002181661564992912
6531,7096,6526,str(tail1_pos),str(tail2_pos)),1.121,2.076,3357.50686,S,01827.75599,E,184.3125,-3.5625,0.0625,0.9,-1.3900000000000001,-1.54,0.09708393964218458,0.23125612588924865,-0.9250245035569946
6531,7096,6526,str(tail1_pos),str(tail2_pos)),2.492,4.616,3357.50670,S,01827.75533,E,267.9375,8.1875,0.9375,-0.9400000000000001,0.72,1.21,-0.18544123302439752,0.02181661564992912,0.09817477042468103
6531,7096,6526,str(tail1_pos),str(tail2_pos)),1.787,3.310,3357.50644,S,01827.75474,E,271.5,6.75,2.5,-0.52,0.04,-0.88,0.07963064712224129,-0.03490658503988659,-0.31634092692397225
