time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_14:57:06
0,0,0,str(tail1_pos),str(tail2_pos)),0.025,0.045,3357.50323,S,01827.74629,E,124.375,-1.4375,12.625,0.01,0.02,-0.05,-0.019634954084936207,-0.014180800172453928,0.00545415391248228
0,0,0,str(tail1_pos),str(tail2_pos)),0.006,0.011,3357.50322,S,01827.74626,E,124.25,-1.25,12.875,-0.05,-0.05,-0.13,-0.002181661564992912,-0.01090830782496456,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.016,0.029,3357.50321,S,01827.74622,E,124.0625,-1.0625,13.5625,0.03,-0.36,1.6,-0.016362461737446838,-0.007635815477475192,0.006544984694978736
0,0,0,str(tail1_pos),str(tail2_pos)),0.024,0.045,3357.50321,S,01827.74622,E,124.0625,-1.0,12.9375,0.48,-0.12,-1.53,0.1810779098944117,-0.039269908169872414,-0.12217304763960307
0,0,0,str(tail1_pos),str(tail2_pos)),0.019,0.035,3357.50320,S,01827.74621,E,125.125,-1.0,12.9375,0.48,0.59,-0.33,0.13853550937704992,0.006544984694978736,-0.026179938779914945
0,0,0,str(tail1_pos),str(tail2_pos)),0.012,0.023,3357.50320,S,01827.74621,E,124.8125,-1.0625,13.125,0.17,-0.12,-0.01,-0.00545415391248228,0.0,0.020725784867432664
0,0,0,str(tail1_pos),str(tail2_pos)),0.019,0.034,3357.50319,S,01827.74621,E,124.625,-1.0,13.4375,0.1,0.06,-0.12,-0.002181661564992912,0.0,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.029,0.053,3357.50318,S,01827.74622,E,124.625,-0.9375,13.4375,0.08,0.02,-0.03,0.001090830782496456,-0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.024,0.044,3357.50318,S,01827.74622,E,124.625,-0.9375,13.4375,0.08,0.0,-0.13,0.002181661564992912,-0.001090830782496456,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.043,0.080,3357.50318,S,01827.74623,E,124.625,-0.9375,13.4375,0.05,0.02,-0.11,0.002181661564992912,0.001090830782496456,0.002181661564992912
6214,6249,6526,str(tail1_pos),str(tail2_pos)),0.016,0.030,3357.50318,S,01827.74624,E,124.625,-0.9375,13.5,0.13,-0.04,-0.03,-0.001090830782496456,0.001090830782496456,0.001090830782496456
6214,6531,6526,str(tail1_pos),str(tail2_pos)),0.042,0.079,3357.50318,S,01827.74626,E,124.5,-0.6875,13.0,-0.06,0.54,1.09,-0.009817477042468103,-0.04363323129985824,0.013089969389957472
6214,6725,6526,str(tail1_pos),str(tail2_pos)),0.678,1.256,3357.50321,S,01827.74642,E,121.625,0.0625,13.9375,0.12,0.42,0.85,0.12871803233458182,-0.07853981633974483,0.20289452554434081
6214,6831,6526,str(tail1_pos),str(tail2_pos)),0.156,0.288,3357.50320,S,01827.74646,E,116.5,0.125,13.5,0.15,0.52,1.44,0.03599741582238305,-0.03490658503988659,0.2181661564992912
6214,6990,6526,str(tail1_pos),str(tail2_pos)),0.372,0.689,3357.50317,S,01827.74635,E,106.75,0.0,13.8125,-1.81,-0.06,-0.63,0.17562375598192942,-0.004363323129985824,0.1636246173744684
6214,7078,6526,str(tail1_pos),str(tail2_pos)),0.006,0.012,3357.50317,S,01827.74631,E,93.8125,-2.9375,1.6875,-0.61,-5.57,-1.48,1.3340860469931657,0.1090830782496456,1.4846206949776766
6214,7096,6526,str(tail1_pos),str(tail2_pos)),0.014,0.026,3357.50316,S,01827.74629,E,24.25,3.0625,13.5625,-1.51,-1.6500000000000001,0.8300000000000001,-0.346884188833873,-0.7875798249624412,2.4870941840919194
6214,7096,6526,str(tail1_pos),str(tail2_pos)),0.005,0.009,3357.50316,S,01827.74627,E,301.5,-1.1875,2.4375,-0.66,-2.98,-1.44,-0.1810779098944117,-0.02945243112740431,1.10501158266891
6214,7096,6526,str(tail1_pos),str(tail2_pos)),0.006,0.011,3357.50315,S,01827.74627,E,261.875,0.1875,13.9375,-0.92,-0.04,-1.79,-0.015271630954950384,-0.4036073895236887,0.7624907169650227
6214,7096,6526,str(tail1_pos),str(tail2_pos)),0.284,0.526,3357.50316,S,01827.74632,E,210.4375,9.4375,18.375,-1.0,-0.42,-0.71,0.3687008044838021,-0.2814343418840856,1.6231562043547265
2022-11-01_14:57:18
6214,7096,6526,str(tail1_pos),str(tail2_pos)),1.670,3.093,3357.50325,S,01827.74674,E,146.9375,-2.4375,11.375,-0.84,-2.15,0.6,0.037088246604879506,-0.09272061651219876,1.1704614296186973
6214,7096,6526,str(tail1_pos),str(tail2_pos)),2.954,5.470,3357.50342,S,01827.74762,E,123.4375,-3.75,21.625,1.02,1.11,1.33,-0.05999569303730508,-0.10690141668465268,-0.1734420944169365
6214,7096,6526,str(tail1_pos),str(tail2_pos)),3.569,6.610,3357.50362,S,01827.74874,E,125.9375,-2.5625,16.0,-0.8,-0.4,-0.8,-0.14508049407202864,0.061086523819801536,-0.24107360293171676
6214,7096,6526,str(tail1_pos),str(tail2_pos)),3.936,7.289,3357.50387,S,01827.75000,E,126.1875,-1.375,17.125,0.93,0.46,-0.78,0.19744037163185854,-0.12435470920459599,-0.17016960206944712
6214,7096,6526,str(tail1_pos),str(tail2_pos)),4.147,7.681,3357.50418,S,01827.75132,E,126.8125,-0.9375,16.125,-0.72,-0.18,0.68,-0.020725784867432664,0.13744467859455345,-0.06654067773228381
6214,7096,6526,str(tail1_pos),str(tail2_pos)),4.293,7.950,3357.50463,S,01827.75266,E,126.3125,-1.1875,17.8125,0.15,0.13,-1.32,0.06872233929727672,-0.14726215563702155,0.09708393964218458
6214,7096,6526,str(tail1_pos),str(tail2_pos)),4.339,8.035,3357.50521,S,01827.75391,E,125.625,-0.875,17.8125,0.35000000000000003,0.13,0.39,-0.1930770485018727,0.055632369907319255,0.09053895494720585
6214,7096,6526,str(tail1_pos),str(tail2_pos)),3.795,7.029,3357.50596,S,01827.75481,E,124.8125,-1.1875,19.0,-0.43,-0.06,-0.28,-0.031634092692397225,-0.03599741582238305,-0.017453292519943295
