time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_14:52:27
0,0,0,str(tail1_pos),str(tail2_pos)),0.009,0.017,3357.50339,S,01827.74971,E,116.25,-1.5,14.0625,-0.04,0.02,-0.07,0.002181661564992912,0.002181661564992912,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.064,0.118,3357.50341,S,01827.74971,E,116.25,-1.5,14.0625,-0.06,0.04,-0.04,0.001090830782496456,-0.004363323129985824,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.039,0.072,3357.50343,S,01827.74971,E,116.25,-1.5,14.0625,0.04,0.02,-0.03,0.001090830782496456,0.002181661564992912,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.271,0.502,3357.50340,S,01827.74977,E,116.25,-1.5,14.0625,0.03,0.02,-0.04,0.001090830782496456,0.0,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.153,0.283,3357.50343,S,01827.74980,E,116.25,-1.5,14.0625,0.05,0.03,-0.06,-0.001090830782496456,-0.004363323129985824,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.060,0.111,3357.50351,S,01827.74985,E,116.25,-1.5,14.0625,0.14,0.67,-0.8200000000000001,-0.061086523819801536,-0.001090830782496456,-0.01090830782496456
6214,6355,6526,str(tail1_pos),str(tail2_pos)),0.145,0.268,3357.50348,S,01827.74986,E,117.8125,-0.9375,13.0,-0.23,0.32,-0.25,0.00545415391248228,-0.04363323129985824,-0.07308566242726255
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.020,0.037,3357.50337,S,01827.74970,E,120.9375,-0.6875,13.125,0.17,0.84,0.91,-0.07526732399225546,0.09053895494720585,-0.06763150851478027
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.032,0.059,3357.50330,S,01827.74961,E,123.125,-1.1875,13.4375,-0.38,0.45,0.07,-0.05999569303730508,0.18871372537188688,0.04690572364734761
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.014,0.026,3357.50329,S,01827.74978,E,125.4375,-3.125,13.75,0.78,0.25,1.6300000000000001,0.10035643198967395,0.17453292519943295,-0.06763150851478027
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.028,0.051,3357.50331,S,01827.74979,E,134.375,-1.4375,16.375,0.71,0.25,-1.47,-0.18435040224190105,0.45487643630102215,0.04908738521234052
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.018,0.034,3357.50326,S,01827.74994,E,139.6875,-14.75,19.5,2.06,0.03,5.16,0.21271200258680892,-0.2476185876266955,-1.1104657365813921
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.007,0.014,3357.50323,S,01827.74998,E,145.8125,-9.625,20.625,0.07,-0.16,-3.06,-0.015271630954950384,-0.5006913291658733,-0.7472190860100724
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.006,0.012,3357.50320,S,01827.75003,E,154.1875,-0.3125,17.5625,-1.17,-1.67,2.89,0.3948807432637171,-0.20289452554434081,0.0818123086872342
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.002,0.003,3357.50318,S,01827.75007,E,154.25,0.5,16.25,0.29,-0.5700000000000001,2.07,-0.2519819107566813,0.3010692959690218,-0.24652775684419906
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.046,0.084,3357.50317,S,01827.75010,E,155.0625,-0.375,17.5,2.36,-0.86,1.93,0.34797501961636945,-0.14289883250703572,-0.4505131131710363
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.009,0.017,3357.50317,S,01827.75010,E,157.3125,1.375,15.5,-1.18,-0.64,-1.54,0.2694352032766246,0.20289452554434081,-0.08944812416470939
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.008,0.014,3357.50317,S,01827.75010,E,166.3125,2.5625,13.5625,-1.12,-0.26,-0.26,-0.13526301702956053,-0.05235987755982989,-0.017453292519943295
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.014,0.026,3357.50317,S,01827.75011,E,168.4375,3.625,13.375,1.62,-0.54,0.38,0.1189005552921137,0.2901609881440573,-0.4363323129985824
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.519,0.962,3357.50320,S,01827.75027,E,169.875,2.8125,13.75,-0.12,-0.46,0.15,-0.3665191429188092,0.21598449493429828,-0.533416252640767
2022-11-01_14:52:37
6214,6408,6526,str(tail1_pos),str(tail2_pos)),1.616,2.992,3357.50330,S,01827.75071,E,173.625,2.625,15.125,-1.74,-1.71,0.09,-0.028361600344907856,0.14835298641951802,-0.06872233929727672
6214,6408,6526,str(tail1_pos),str(tail2_pos)),2.759,5.110,3357.50353,S,01827.75150,E,175.0,2.25,14.9375,-0.88,-1.01,-0.89,0.015271630954950384,0.08399397025222712,-0.1712604328519436
6214,6408,6526,str(tail1_pos),str(tail2_pos)),3.597,6.661,3357.50393,S,01827.75253,E,176.1875,2.1875,14.5625,-0.55,-1.03,-0.92,0.11344640137963143,0.12871803233458182,-0.11562806294462433
6214,6408,6526,str(tail1_pos),str(tail2_pos)),3.612,6.689,3357.50459,S,01827.75345,E,176.875,1.75,14.0625,-0.87,-1.05,-0.34,0.05345070834232634,0.017453292519943295,-0.044724062082354694
6214,6408,6526,str(tail1_pos),str(tail2_pos)),2.223,4.117,3357.50521,S,01827.75393,E,177.5,1.5,14.0,-0.5,-0.88,-0.28,0.0272707695624114,0.01090830782496456,0.017453292519943295
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.334,0.619,3357.50547,S,01827.75401,E,177.25,0.875,14.0625,-0.39,0.48,-0.01,0.05345070834232634,-0.009817477042468103,0.006544984694978736
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.011,0.021,3357.50553,S,01827.75400,E,177.125,0.0,13.25,-0.33,0.05,0.09,0.007635815477475192,-0.003272492347489368,0.001090830782496456
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.031,0.058,3357.50556,S,01827.75398,E,177.125,-0.3125,12.9375,-0.04,-0.09,-0.11,-0.006544984694978736,-0.00545415391248228,0.002181661564992912
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.116,0.215,3357.50556,S,01827.75393,E,177.125,-0.375,12.9375,-0.05,-0.15,-0.05,-0.001090830782496456,-0.008726646259971648,0.001090830782496456
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.056,0.104,3357.50557,S,01827.75391,E,176.8125,-1.8125,8.6875,-0.12,-0.55,0.5700000000000001,1.002473489114243,0.136353847812057,0.04908738521234052
6214,6408,6526,str(tail1_pos),str(tail2_pos)),0.800,1.481,3357.50548,S,01827.75374,E,144.4375,-1.5625,3.25,0.45,-0.51,0.54,-1.0755591515415055,-0.008726646259971648,-0.17235126363444003
0,0,0,str(tail1_pos),str(tail2_pos)),1.152,2.133,3357.50578,S,01827.75376,E,130.1875,0.625,9.5,-1.6400000000000001,-1.32,-0.31,-0.3425208657038872,0.48978302134090873,-0.46142142099600086
0,0,0,str(tail1_pos),str(tail2_pos)),0.303,0.561,3357.50565,S,01827.75382,E,132.1875,-2.8125,11.5,1.02,-0.03,-1.6300000000000001,-0.06981317007977318,-0.038179077387375956,0.13853550937704992
0,0,0,str(tail1_pos),str(tail2_pos)),4.125,7.640,3357.50606,S,01827.75190,E,120.125,-3.9375,11.0,0.5,0.35000000000000003,-1.59,-0.3196134192714616,-0.15162547876700738,0.38724492778624187
0,0,0,str(tail1_pos),str(tail2_pos)),2.358,4.368,3357.50525,S,01827.75121,E,115.5,0.3125,12.75,0.93,0.43,0.28,-0.020725784867432664,0.17889624832941878,0.3327033886614191
0,0,0,str(tail1_pos),str(tail2_pos)),2.184,4.045,3357.50422,S,01827.75030,E,115.875,-2.5,16.25,0.23,0.54,-1.54,0.09599310885968812,-0.15162547876700738,0.10690141668465268
0,0,0,str(tail1_pos),str(tail2_pos)),1.417,2.624,3357.50408,S,01827.74970,E,115.6875,-3.4375,9.25,-1.06,-0.18,1.3800000000000001,0.6697701004528239,-0.27379852640661045,-0.16798794050445423
0,0,0,str(tail1_pos),str(tail2_pos)),0.365,0.676,3357.50402,S,01827.74949,E,119.375,-4.5,5.5,-0.01,0.13,-0.22,-0.04799655442984406,0.039269908169872414,0.1810779098944117
0,0,0,str(tail1_pos),str(tail2_pos)),0.236,0.438,3357.50403,S,01827.74952,E,116.625,-2.4375,12.0,0.1,-0.18,-0.15,-0.011999138607461015,0.006544984694978736,-0.003272492347489368
0,0,0,str(tail1_pos),str(tail2_pos)),0.173,0.320,3357.50402,S,01827.74945,E,116.6875,-2.25,12.5,-0.28,0.12,0.34,-0.007635815477475192,-0.04908738521234052,-0.014180800172453928
2022-11-01_14:52:52
0,0,0,str(tail1_pos),str(tail2_pos)),0.307,0.569,3357.50401,S,01827.74934,E,116.5,-2.1875,12.75,0.01,-0.06,-0.08,-0.002181661564992912,-0.002181661564992912,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.234,0.433,3357.50407,S,01827.74931,E,116.5,-2.1875,12.75,-0.03,-0.02,0.02,0.0,0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.288,0.533,3357.50409,S,01827.74940,E,116.625,-2.25,12.75,0.09,0.02,0.04,0.001090830782496456,0.00545415391248228,-0.017453292519943295
0,0,0,str(tail1_pos),str(tail2_pos)),0.080,0.148,3357.50411,S,01827.74944,E,116.75,-2.1875,12.6875,0.21,0.07,-0.14,0.001090830782496456,0.007635815477475192,-0.020725784867432664
0,0,0,str(tail1_pos),str(tail2_pos)),0.146,0.270,3357.50409,S,01827.74946,E,116.5625,-2.1875,12.875,-0.04,-0.09,-0.15,0.0,0.003272492347489368,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.263,0.486,3357.50405,S,01827.74951,E,116.5625,-2.1875,12.875,0.01,-0.02,-0.07,0.001090830782496456,0.001090830782496456,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.298,0.551,3357.50412,S,01827.74942,E,116.5625,-2.1875,12.875,0.08,-0.04,-0.08,0.001090830782496456,0.003272492347489368,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.330,0.611,3357.50416,S,01827.74933,E,116.5625,-2.1875,12.875,0.08,-0.03,0.04,0.0,0.004363323129985824,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.306,0.566,3357.50420,S,01827.74915,E,116.5625,-2.1875,12.875,0.03,-0.02,-0.05,0.0,-0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.452,0.838,3357.50418,S,01827.74900,E,116.5625,-2.1875,12.875,-0.04,-0.03,0.04,-0.001090830782496456,0.003272492347489368,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.258,0.478,3357.50415,S,01827.74906,E,116.5625,-2.1875,12.875,-0.01,-0.01,0.09,0.001090830782496456,0.0,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),0.180,0.333,3357.50410,S,01827.74915,E,116.5625,-2.1875,12.875,0.01,-0.01,0.05,0.0,0.002181661564992912,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),N,K,3357.51,,12.41,,116.5625,-2.1875,12.875,-0.01,0.0,-0.08,0.0,-0.001090830782496456,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.035,0.065,3357.50412,S,01827.74916,E,116.5625,-2.1875,12.875,-0.04,-0.04,-0.11,0.001090830782496456,0.004363323129985824,-0.002181661564992912
6214,6231,6526,str(tail1_pos),str(tail2_pos)),0.317,0.588,3357.50410,S,01827.74926,E,116.6875,-2.1875,12.75,0.13,0.1,-0.34,-0.019634954084936207,0.0,-0.016362461737446838
6214,6355,6526,str(tail1_pos),str(tail2_pos)),1.365,2.527,3357.50411,S,01827.74968,E,115.625,-1.125,12.75,-0.33,0.41000000000000003,-0.37,0.07526732399225546,-0.019634954084936207,0.018544123302439753
6214,6355,6526,str(tail1_pos),str(tail2_pos)),1.214,2.248,3357.50429,S,01827.75001,E,113.0,-1.1875,12.5,-1.68,-0.32,0.25,-0.015271630954950384,0.032724923474893676,0.031634092692397225
6214,6355,6526,str(tail1_pos),str(tail2_pos)),2.057,3.809,3357.50435,S,01827.75070,E,108.5625,-0.375,13.875,0.5700000000000001,-0.49,0.59,0.08726646259971647,-0.06544984694978735,0.16798794050445423
6214,6355,6526,str(tail1_pos),str(tail2_pos)),2.633,4.876,3357.50441,S,01827.75151,E,103.9375,0.0,13.5625,-0.48,0.45,-1.02,-0.05672320068981571,-0.039269908169872414,0.02181661564992912
6214,6355,6526,str(tail1_pos),str(tail2_pos)),2.534,4.692,3357.50436,S,01827.75239,E,99.75,0.0,14.3125,-0.42,0.38,2.36,0.19416787928436915,0.15271630954950383,-0.31525009614147576
2022-11-01_14:53:12
5760,6355,6526,str(tail1_pos),str(tail2_pos)),2.784,5.156,3357.50427,S,01827.75341,E,117.75,4.0625,12.5,2.18,-0.07,0.32,-0.017453292519943295,0.15271630954950383,-0.3436116964863836
5652,6355,6526,str(tail1_pos),str(tail2_pos)),3.131,5.798,3357.50440,S,01827.75451,E,143.125,2.625,12.375,0.07,-0.15,0.6900000000000001,0.1461713248545251,0.02399827721492203,-0.3861540970037454
5652,6355,6526,str(tail1_pos),str(tail2_pos)),2.421,4.483,3357.50469,S,01827.75528,E,161.0625,2.4375,12.625,0.48,0.0,0.26,-0.06872233929727672,0.10144726277217041,-0.35561083509384467
5796,6355,6526,str(tail1_pos),str(tail2_pos)),3.027,5.607,3357.50537,S,01827.75579,E,171.8125,-1.375,14.1875,-0.8200000000000001,-0.01,-1.8800000000000001,0.09490227807719166,0.06544984694978735,0.22907446432425577
6443,6355,6526,str(tail1_pos),str(tail2_pos)),2.949,5.462,3357.50591,S,01827.75631,E,171.125,0.25,15.75,2.5300000000000002,-1.52,-1.59,-0.32506757318394386,0.5443245604657315,-0.08399397025222712
6443,6355,6526,str(tail1_pos),str(tail2_pos)),1.934,3.581,3357.50655,S,01827.75626,E,178.5,-0.375,14.625,-0.48,-0.76,0.23,0.020725784867432664,-0.09381144729469522,-0.002181661564992912
