steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.875,2.0625,153.5,-0.06,-0.22,0.0,-0.001090830782496456,0.004363323129985824,0.0
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.875,2.0,153.5,0.0,0.13,0.03,0.007635815477475192,0.01090830782496456,0.015271630954950384
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.875,2.0625,153.4375,-0.1,0.05,0.15,-0.011999138607461015,0.0,0.0
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.875,2.0,153.5,-0.35000000000000003,-0.41000000000000003,0.03,0.001090830782496456,0.007635815477475192,0.050178215994836975
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.9375,2.0,153.5,-0.27,-0.06,0.2,-0.018544123302439753,0.011999138607461015,0.0
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.875,2.0625,153.5,0.28,0.55,-0.37,0.025089107997418487,0.007635815477475192,0.031634092692397225
2022-10-20_15:22:46,0,0,0,str(tail1_pos),str(tail2_pos)),,,171.0,2.0,153.4375,0.53,-0.15,0.16,-0.003272492347489368,-0.017453292519943295,0.0272707695624114
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.9375,2.0,153.5,-0.05,-0.32,0.17,-0.019634954084936207,0.016362461737446838,-0.003272492347489368
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.9375,2.0,153.8125,-0.17,-0.58,0.18,-0.2694352032766246,-0.08290313946973066,-0.013089969389957472
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,171.0625,1.375,156.0625,0.51,0.76,0.73,-0.3763366199612773,-0.05999569303730508,-0.06326818538479445
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.625,0.5625,158.5625,-0.15,-1.23,-2.14,-0.5715953300281429,-0.15817046346198613,-0.03490658503988659
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,170.0625,-0.375,162.375,0.0,0.6900000000000001,0.59,-0.5170537909033202,-0.21707532571679475,-0.12435470920459599
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,169.3125,-1.25,164.875,-0.73,2.38,1.58,0.2999784651865254,0.1439896632895322,-0.1559888018969932
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.25,-0.375,162.3125,-0.9,0.97,-0.22,0.8857545953871222,0.3817907738737596,-0.07744898555724837
2022-10-20_15:22:47,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.875,1.875,157.0625,5.2,-4.0200000000000005,-1.9100000000000001,0.2781618495365963,-0.10799224746714914,-0.06763150851478027
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.3125,2.375,155.0625,0.09,0.92,1.79,0.6010477611555473,0.06435901616729091,0.037088246604879506
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.0625,2.5,151.9375,0.36,-2.24,0.3,-0.2454369260617026,0.032724923474893676,0.1930770485018727
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.1875,2.0,154.0,-0.58,-1.93,0.7000000000000001,-1.2577278922184136,-0.4188790204786391,-0.017453292519943295
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.1875,0.25,162.8125,-0.21,-0.12,2.45,-1.457349925415265,-0.08944812416470939,-0.26616271092913524
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,166.75,-0.375,170.75,-0.32,2.5300000000000002,1.7,0.10144726277217041,0.04908738521234052,-0.21162117180431245
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,165.0625,0.4375,169.125,-1.09,1.46,-0.47000000000000003,1.1126473981463851,0.5519603759432067,0.17780541754692233
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,166.3125,3.5,161.0,0.13,-0.5,-0.5,1.3122694313432366,0.6926775468852495,0.02399827721492203
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.3125,7.75,153.0,0.48,-0.97,0.6,0.755945732270044,0.36106498900632694,0.11126473981463851
2022-10-20_15:22:48,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.125,9.5,148.3125,0.02,-1.82,-0.25,-0.026179938779914945,-0.07526732399225546,0.07417649320975901
2022-10-20_15:22:49,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.75,8.9375,149.6875,1.09,-3.58,-0.97,-1.4104442017679175,-0.8552113334772214,-0.020725784867432664
2022-10-20_15:22:49,0,0,0,str(tail1_pos),str(tail2_pos)),,,168.25,4.5625,160.1875,0.89,-0.4,1.26,-1.9176805156287695,-1.028653427894158,0.06872233929727672
2022-10-20_15:22:49,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.1875,0.875,156.0625,2.83,-1.11,-3.67,-0.24980024919168842,-0.1636246173744684,0.09926560120717749
2022-10-20_15:22:50,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.0,1.3125,155.625,-0.09,0.09,0.0,-0.003272492347489368,-0.004363323129985824,0.001090830782496456
2022-10-20_15:22:51,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.0,1.375,155.6875,0.11,0.19,-0.02,-0.001090830782496456,0.002181661564992912,-0.002181661564992912
2022-10-20_15:22:52,0,0,0,str(tail1_pos),str(tail2_pos)),,,167.0,1.375,155.6875,-0.06,-0.18,0.13,0.0,0.003272492347489368,0.001090830782496456
